id,hoehe,geobreite,geolaenge,stationsname,bundesland
4371,135,52.1042,8.7521,"Salzuflen, Bad                      ",Nordrhein-Westfalen   
4629,37,54.5166,9.142,Schwesing                           ,Schleswig-Holstein    
4692,229,50.8534,7.9966,Siegen (Kläranlage)                 ,Nordrhein-Westfalen   
4704,508,47.5776,9.7404,Sigmarszell-Zeisertsweiler          ,Bayern                
4709,445,49.9996,7.5981,Simmern-Wahlbach                    ,Rheinland-Pfalz       
4719,169,49.2447,8.8787,Sinsheim                            ,Baden-Württemberg     
4745,75,52.9604,9.793,Soltau                              ,Niedersachsen         
4911,351,48.8275,12.5597,Straubing                           ,Bayern                
5009,33,53.761,12.5574,Teterow                             ,Mecklenburg-Vorpommern
5064,37,51.2897,6.4437,Tönisvorst                          ,Nordrhein-Westfalen   
5068,80,51.5833,13.0,Torgau                              ,Sachsen               
5099,132,49.7326,6.6131,Trier-Zewen                         ,Rheinland-Pfalz       
5100,261,49.7479,6.6583,Trier-Petrisberg                    ,Rheinland-Pfalz       
5419,264,50.9751,11.3076,Weimar                              ,Thüringen             
5433,380,49.5534,6.812,Weiskirchen/Saar                    ,Saarland              
5440,439,49.0115,10.9308,Weißenburg-Emetzheim                ,Bayern                
5546,187,52.1206,12.4586,Wiesenburg                          ,Brandenburg           
5643,68,53.1864,12.4949,Wittstock-Rote Mühle                ,Brandenburg           
5663,118,53.4618,13.6099,Woldegk                             ,Mecklenburg-Vorpommern
5731,395,47.6783,8.3801,Wutöschingen-Ofteringen             ,Baden-Württemberg     
5745,51,52.9664,13.3268,Zehdenick                           ,Brandenburg           
5750,264,51.0314,12.1495,Zeitz                               ,Sachsen-Anhalt        
5779,877,50.7313,13.7516,Zinnwald-Georgenfeld                ,Sachsen               
5802,615,49.0007,13.2137,Zwieselberg                         ,Bayern                
5839,0,53.3881,7.2287,Emden                               ,Niedersachsen         
5930,1,54.641,10.0238,Schönhagen (Ostseebad)              ,Schleswig-Holstein    
5941,686,47.6754,12.4698,Reit im Winkl                       ,Bayern                
6109,52,53.3837,14.3728,Grambow-Schwennenz                  ,Mecklenburg-Vorpommern
6157,4,53.6411,8.0809,Wangerland-Hooksiel                 ,Niedersachsen         
6182,404,48.7757,12.1743,Mallersdorf-Pfaffenberg             ,Bayern                
6254,19,53.5408,9.9528,Hamburg-Lotsenhöft                  ,Hamburg               
6262,412,48.7695,9.8737,Schwäbisch Gmünd-Weiler             ,Baden-Württemberg     
6265,36,52.3613,12.3867,Wusterwitz                          ,Brandenburg           
